index,doc_a,doc_b,label,type,TF-IDF,Standard TED,pq-Gram,Section Cosine,Genuine Flat Domain SBERT
126,SP26SE101,SU26SE083,0,Type_C,0.10869907629482765,0.5460122699386503,0.0,0.035228017992056465,1.0
127,SU26SE094,SP26SE034,0,Type_C,0.1221206063697737,0.5460122699386503,0.0,0.03935134707511719,1.0
128,SP26SE143,SP26SE057,0,Type_C,0.05982229965041276,0.4722222222222222,0.0,0.47425632010138435,1.0
129,SP26SE150,SU26SE107,0,Type_C,0.13875280923142755,0.5730994152046784,0.0,0.03444990804700489,1.0
130,SP26SE093,SU27SE153,0,Type_C,0.1262976500196421,0.2660550458715596,0.0,0.5171643471972924,1.0
131,SU26SE070,SP26SE052,0,Type_C,0.10188410588282218,0.5636363636363637,0.0,0.047091602651929715,1.0
132,SU26SE091,SU26SE032,0,Type_C,0.14803932151953347,0.5755813953488372,0.0,0.09374052977131085,1.0
133,SP26SE103,SU26SE079,0,Type_C,0.08252515764382952,0.4758620689655172,0.0,0.24185940856282984,1.0
134,SP26SE102,SP26SE109,0,Type_C,0.09180722833850935,0.5755813953488372,0.0027100271002710027,0.5019167362211694,1.0
135,SP26SE019,SU26SE091,0,Type_C,0.1565777306529604,0.5730994152046784,0.0,0.07420626240264501,1.0
136,SP26SE158,SP26SE019,0,Type_C,0.15090159477992424,0.5730994152046784,0.00821917808219178,0.5181182120273516,1.0
137,SP26SE133,SP26SE074,0,Type_C,0.07217039394133123,0.5730994152046784,0.0,0.4948618426105661,1.0
